region,child_percent,elderly_percent,poverty_percent
Белгородская область,16.9,28.2,7.8
Брянская область,17.1,28.4,13.8
Владимирская область,16.7,29.8,12.6
Воронежская область,15.8,29.3,8.9
Ивановская область,16.6,29.3,14.2
Калужская область,16.9,28.7,10.2
Костромская область,18.5,28.8,12.6
Курская область,16.9,29.4,9.9
Липецкая область,17.2,29.1,8.6
Московская область,17.9,25.1,7.3
Орловская область,16.5,29.9,13.6
Рязанская область,15.9,30.7,12.7
Смоленская область,15.7,28.9,16.3
Тамбовская область,15.1,31.3,10.7
Тверская область,16.9,30.0,11.7
Тульская область,15.0,31.0,10.3
Ярославская область,17.4,28.9,10.3
Москва,15.3,27.7,6.4
Республика Карелия,18.4,27.7,15.7
Республика Коми,20.3,23.3,15.5
Ненецкий АО,24.8,19.2,9.4
Архангельская область,18.7,27.3,12.7
Вологодская область,19.5,26.9,12.9
Калининградская область,17.8,25.7,13.5
Ленинградская область,15.5,28.0,8.8
Мурманская область,18.8,22.6,10.6
Новгородская область,17.8,30.1,13.8
Псковская область,16.7,30.3,16.2
Санкт-Петербург,15.7,27.3,6.4
Республика Адыгея,19.7,26.0,12.6
Республика Калмыкия,21.9,23.0,23.5
Республика Крым,18.2,28.5,17.2
Краснодарский край,18.8,26.5,10.4
Астраханская область,20.5,24.6,15.5
Волгоградская область,17.2,27.9,12.9
Ростовская область,17.0,27.6,13.3
Севастополь,17.2,27.2,11.6
Республика Дагестан,25.8,14.4,14.6
Республика Ингушетия,28.5,13.3,30.5
Кабардино-Балкарская Республика,21.7,20.9,24.2
Карачаево-Черкесская Республика,20.5,22.8,23.3
Республика Северная Осетия-Алания,21.2,23.6,13.8
Чеченская Республика,33.8,10.8,20.7
Ставропольский край,18.9,24.9,14.0
Республика Башкортостан,20.5,24.6,12.1
Республика Марий Эл,19.8,26.2,20.1
Республика Мордовия,15.2,28.5,18.0
Республика Татарстан,19.5,25.3,6.9
Удмуртская Республика,20.6,25.4,12.4
Чувашская Республика,19.3,25.7,17.4
Пермский край,20.4,25.2,13.8
Кировская область,18.2,29.9,14.6
Нижегородская область,17.1,28.4,9.5
Оренбургская область,20.2,25.8,14.3
Пензенская область,16.0,30.2,13.6
Самарская область,17.5,27.6,12.9
Саратовская область,16.8,28.2,15.5
Ульяновская область,16.6,29.5,15.5
Курганская область,19.4,29.8,19.6
Свердловская область,19.7,26.1,8.9
Ханты-Мансийский АО,23.3,16.4,8.9
Ямало-Ненецкий АО,24.0,12.4,5.5
Тюменская область,21.7,22.2,14.4
Челябинская область,19.5,26.2,12.8
Республика Алтай,28.2,18.9,24.3
Республика Тыва,34.6,11.6,34.1
Республика Хакасия,22.0,23.9,19.0
Алтайский край,19.1,27.8,17.6
Красноярский край,19.9,23.4,17.3
Иркутская область,21.9,23.2,17.9
Кемеровская область,19.6,26.1,13.6
Новосибирская область,18.9,25.4,13.9
Омская область,19.7,25.6,13.9
Томская область,19.1,23.4,14.8
Республика Бурятия,24.6,20.6,20.1
Забайкальский край,22.8,20.9,21.5
Республика Саха (Якутия),24.8,17.6,17.8
Камчатский край,18.8,21.0,14.9
Приморский край,17.9,25.1,13.5
Хабаровский край,19.1,23.2,12.2
Амурская область,20.5,23.3,15.7
Магаданская область,18.9,22.0,9.3
Сахалинская область,19.7,23.7,8.2
Еврейская автономная область,21.1,23.3,23.9
Чукотский АО,23.1,15.2,8.5
